Date,alpha,rho,sigma,alpha,rho,sigma,alpha,rho,sigma,se_13_alpha,se_13_rho,se_13_sigma,se_23_alpha,se_23_rho,se_23_sigma
4/17/2018,1.554019872,-0.786661547,2.402670499,2.03728142,-0.508848669,2.233399698,1.884394879,-0.614275546,2.136461701,0.109147645,0.029716933,0.070867124,0.023374294,0.011114826,0.009396975
4/18/2018,1.58484291,-0.781739471,2.254344836,1.680607268,-0.730171403,2.15855133,1.933393543,-0.708331119,2.103908793,0.121487544,0.005388786,0.022631003,0.063900901,0.000476998,0.002985807
4/19/2018,1.69695803,-0.78068103,2.185015756,1.939837478,-0.713473587,2.077547394,1.65225601,-0.718297482,2.211492768,0.001998271,0.003891707,0.000701032,0.0827031,2.33E-05,0.017941363
4/20/2018,1.629393606,-0.799562954,2.212978313,1.453348346,-0.732175105,2.262846629,1.691119229,-0.709453824,2.281422604,0.003810053,0.008119655,0.004684621,0.056534993,0.000516257,0.000345067
4/23/2018,1.587004235,-0.816311766,2.280274685,1.746908606,-0.705684545,2.252782592,1.0853516,-0.987891213,2.436657686,0.251655367,0.029439507,0.024455643,0.437657673,0.079640604,0.03381005
4/24/2018,1.396366963,-0.87254872,2.326826733,0.720899945,-1,2.509539976,1.233172345,-0.810291427,2.486219217,0.026632483,0.003875971,0.025405964,0.262423011,0.035989343,0.000543858
4/25/2018,1.325314832,-0.87929194,2.424108919,1.618986298,-0.58631016,2.389437028,1.536339948,-0.70297438,2.321934474,0.044531599,0.031087882,0.010439617,0.006830419,0.01361054,0.004556595
4/26/2018,1.306596861,-0.8544216,2.369090766,1.435414908,-0.806902811,2.319224815,1.615992117,-0.744204021,2.298245221,0.095725424,0.012147915,0.005019091,0.032608128,0.003931138,0.000440143
4/27/2018,1.443181715,-0.818573141,2.338367895,1.671283468,-0.715222964,2.267116395,1.548454295,-0.773172043,2.26416333,0.011082316,0.00206126,0.005506318,0.015087006,0.003358096,8.72E-06
4/30/2018,1.484332445,-0.824604353,2.281053219,1.433705637,-0.823070116,2.272476235,0.400219604,-1,2.55205725,1.175300652,0.030763633,0.073443185,1.068093379,0.031304184,0.078165544
5/1/2018,1.174356349,-0.873059484,2.331637648,0.062911729,-1,2.656418918,0.244983187,-1,2.47640022,0.863734473,0.016113894,0.020956202,0.033150016,0,0.032406731
5/2/2018,0.936262709,-0.898735723,2.283063206,0.632477234,-0.925955953,2.369213129,1.363864216,-0.869854289,2.415517043,0.182843048,0.000834137,0.017544019,0.534926918,0.003147397,0.002144052
5/3/2018,1.076616706,-0.891906183,2.42836848,1.72883117,-0.802825658,2.308026681,1.009479679,-0.992000221,2.555184921,0.00450738,0.010018816,0.01608241,0.517466567,0.035787015,0.061087196
5/4/2018,1.077025925,-0.92461728,2.479740366,0.659170206,-1,2.635120318,0.910990233,-0.874273648,2.341180863,0.027567851,0.002534481,0.019198736,0.063413326,0.015807116,0.086400403
5/7/2018,1.159112578,-0.898834606,2.29532369,1.219500107,-0.751701049,2.238754182,0.297754026,-1,2.432133053,0.741938555,0.010234437,0.018716802,0.849615838,0.061652369,0.037395388
5/8/2018,0.974761035,-0.888069851,2.263595969,0.027180201,-1,2.51433071,0.162439296,-1,2.440720458,0.659866607,0.012528358,0.031373085,0.018295023,0,0.005418469
5/9/2018,0.821582312,-0.890901309,2.248395312,0.563926464,-0.882772713,2.350016579,1.020061357,-1,2.178791795,0.039393931,0.011902524,0.00484465,0.208059041,0.013742237,0.029317927
5/10/2018,0.975798666,-0.900948742,2.177273232,1.284418013,-1,2.074161557,1.978600854,-0.438416842,1.876177189,1.00561223,0.213935758,0.090658827,0.481889817,0.315375643,0.03919781
5/11/2018,1.297362891,-0.787816443,2.083947551,2.421407893,-0.101604758,1.78869545,1.606123376,-0.692552162,1.955776606,0.095333037,0.009075283,0.016427791,0.664688843,0.349218834,0.027916113
5/14/2018,1.514157441,-0.759403836,1.992881102,0.996457935,-1,2.093425344,1.683530737,-0.538134411,1.807115931,0.028687313,0.048960158,0.034508699,0.472069034,0.213319823,0.08197308
5/15/2018,1.622246667,-0.707258172,1.869213464,2.175472272,-0.227900432,1.699980085,1.756483145,-0.673343458,1.905652046,0.018019432,0.001150208,0.00132777,0.175551888,0.198419489,0.042300956
5/16/2018,1.63834541,-0.734369324,1.937371207,1.348578018,-0.968559239,2.003468636,1.804430598,-0.723528224,1.885321781,0.027584289,0.000117529,0.002709143,0.207801574,0.060040198,0.013958679
5/17/2018,1.655283418,-0.765541241,1.929788476,2.021804125,-0.578516233,1.825159681,1.748903342,-0.67857732,1.899069108,0.00876469,0.007562724,0.00094368,0.074474837,0.010012221,0.005462603
