Date,alpha,beta,rho,sigma,Duration
7/21/2017,1.1179547182548013,0.8,-1.0,0.29946968556390635,92.0
7/24/2017,1.5519985189670413,0.8,-0.7819904253482873,0.2795946996430252,89.0
7/25/2017,1.9774304007560417,0.8,-0.709558986923427,0.26071759335911543,88.0
7/26/2017,2.203271475074155,0.8,-0.5180976550967229,0.24925565380003312,87.0
7/27/2017,2.1275675297686014,0.8,-0.639739055266272,0.2584699258047893,86.0
7/28/2017,1.9776852740829842,0.8,-0.7664405204002164,0.2757112760915273,85.0
7/31/2017,0.9482084050854469,0.8,-1.0,0.30788035443802264,82.0
8/1/2017,1.8513983702706691,0.8,-0.7986423562243137,0.2683695272679505,81.0
8/2/2017,0.8504341356809664,0.8,-1.0,0.3057705659229113,80.0
8/3/2017,2.019054896878718,0.8,-0.8049383123234821,0.2780181679476402,79.0
8/4/2017,1.6045909334278474,0.8,-0.987749876227519,0.2905886853358771,78.0
8/7/2017,1.5176032905241577,0.8,-1.0,0.292171817598729,75.0
8/8/2017,1.4659610794744662,0.8,-1.0,0.3043816154821877,74.0
8/9/2017,1.8076191967921462,0.8,-0.8596245259812874,0.3031705419554525,73.0
8/10/2017,1.7565615753347381,0.8,-0.8116128531826885,0.3641489067843028,100.0
8/11/2017,0.9623635847127787,0.8,-1.0,0.4073444388296661,99.0
8/14/2017,1.2021668115227833,0.8,-0.9742227629371354,0.3456683279765861,96.0
8/15/2017,1.0520390458888815,0.8,-0.9780544674951199,0.3310109617244864,95.0
8/16/2017,1.939351873971408,0.8,-0.8163999278981171,0.29938670848368554,94.0
8/17/2017,1.3235796856924127,0.8,-0.8730494086669198,0.3776747775295871,93.0
8/18/2017,1.6910286866411182,0.8,-0.9116571739259328,0.3730400628967723,92.0
8/21/2017,1.2417900792712226,0.8,-1.0,0.3680454350706742,89.0
8/22/2017,1.4369274751909535,0.8,-0.827074929238349,0.3112897639425038,88.0
8/23/2017,1.4926598748108377,0.8,-0.8341586636088412,0.3397243737320252,87.0
8/24/2017,1.7982947472484663,0.8,-0.8470456935310473,0.3410101920138544,86.0
8/25/2017,1.52210909338945,0.8,-0.7639562833328183,0.330151702002981,85.0
8/28/2017,1.590865660361472,0.8,-0.8567675921357741,0.32943281180907785,82.0
8/29/2017,1.8364909856553058,0.8,-0.92712642884738,0.32128671937875136,81.0
8/30/2017,1.809383760913713,0.8,-0.8432951661913605,0.31709612880649213,80.0
8/31/2017,1.7694491309112161,0.8,-0.7621719694368955,0.30982487840255346,79.0
9/1/2017,1.98331111279372,0.8,-0.6118352191441395,0.28494409876742627,78.0
9/5/2017,1.6897233562791156,0.8,-0.8865872702086367,0.33783543399528254,74.0
9/6/2017,2.0695352488091636,0.8,-0.8259427699731651,0.31362927540325175,73.0
9/7/2017,0.6935328602061128,0.8,-1.0,0.37799196787997397,100.0
9/8/2017,1.6048732365939478,0.8,-0.9284459956555279,0.3630956501494077,99.0
9/11/2017,1.2236361186931226,0.8,-0.9671754791815126,0.35565467354245583,96.0
9/12/2017,0.6571504948272241,0.8,-1.0,0.35352686216524715,95.0
9/13/2017,0.8130456495930884,0.8,-1.0,0.35009501126580356,94.0
9/14/2017,0.409617636753727,0.8,-0.42680759416604674,0.4191683825510889,93.0
9/15/2017,1.2504426989234816,0.8,-0.7586249288906689,0.32161298647181497,92.0
9/18/2017,0.8300600357728676,0.8,-1.0,0.3462191743026521,89.0
9/19/2017,0.9343446179840804,0.8,-0.9395273913940394,0.3283742588211739,88.0
9/20/2017,2.0221975073832694,0.8,-0.6366619852564783,0.2804701103324688,87.0
9/21/2017,1.7130015758121835,0.8,-0.7057062719084003,0.29605096894338806,86.0
9/22/2017,1.2656253575687946,0.8,-0.7529819864002243,0.31455638253441776,85.0
9/25/2017,1.727426751458998,0.8,-0.7580325751978361,0.3085756254129216,82.0
9/26/2017,1.7620317379578434,0.8,-0.6871113671333017,0.30275870783501446,81.0
9/27/2017,0.8619312467104219,0.8,-0.9513522179290395,0.337170838879065,80.0
9/28/2017,1.0144169849287148,0.8,-0.7912717058720277,0.3302988853886337,79.0
9/29/2017,1.4311760647103338,0.8,-0.657024438615184,0.3123109423085502,78.0
10/2/2017,1.5557676791353339,0.8,-0.639018134835948,0.2936788201557835,75.0
10/3/2017,0.15513124534350697,0.8,-1.0,0.37377007891896225,74.0
10/4/2017,1.4709627551701288,0.8,-0.616101286399402,0.3107651002460416,73.0
10/5/2017,1.9779029056610304,0.8,-0.713071337225271,0.27490167809682337,86.0
10/6/2017,2.0266237889421035,0.8,-0.8088641650437917,0.2678818796280197,85.0
10/9/2017,2.0551031686260153,0.8,-0.8059512081324636,0.27854897786721783,82.0
10/10/2017,2.3465908040123296,0.8,-0.695795737256141,0.2506656753101023,81.0
10/11/2017,2.115946897298518,0.8,-0.7589535988241012,0.26099275752742895,80.0
10/12/2017,2.032372640382424,0.8,-0.7952372676390299,0.2696369426856148,79.0
10/13/2017,2.3821428641409526,0.8,-0.4008322746738234,0.240224727386125,78.0
10/16/2017,2.2193697727698676,0.8,-0.7299865422579463,0.25025105940015624,75.0
10/17/2017,2.267612619658246,0.8,-0.7071207904348866,0.24762762662383514,74.0
10/18/2017,2.2905535808256228,0.8,-0.7069320275249324,0.24142088385837673,73.0
10/19/2017,1.0030924366052845,0.8,-0.8726824097201804,0.3100065376237487,93.0
10/20/2017,0.8624125033621036,0.8,-0.986206964694048,0.3078271105828097,92.0
10/23/2017,2.045361363861553,0.8,-0.7054639309134958,0.26309282342011797,89.0
10/24/2017,2.1153078323548535,0.8,-0.7664752550703909,0.26132501949862713,88.0
10/25/2017,2.0667791090598566,0.8,-0.7487917716040224,0.27341825975715967,87.0
10/26/2017,2.0084875045936967,0.8,-0.7707947292205046,0.279318390228481,86.0
10/27/2017,1.9898033168511493,0.8,-0.746085807207984,0.25366081305278226,85.0
10/30/2017,1.1583004044511809,0.8,-1.0,0.31065170331886005,82.0
10/31/2017,2.033359956645721,0.8,-0.6723544274281141,0.26172047903358775,81.0
11/1/2017,1.9916800371173677,0.8,-0.6009704906799223,0.2634022460046489,80.0
11/2/2017,2.031917369339417,0.8,-0.6970974216900102,0.27121184376385593,79.0
11/3/2017,2.1807116973310943,0.8,-0.3699685243715393,0.24621273902621366,78.0
11/6/2017,2.1013585926593867,0.8,-0.6218615788521734,0.2543413366822022,75.0
11/7/2017,2.2590741125438405,0.8,-0.36172313505288556,0.2580804477099989,74.0
11/8/2017,0.4024974446200128,0.8,-1.0,0.3748132468389746,73.0
11/9/2017,1.7950493822759122,0.8,-0.7342818536218264,0.30498239087518686,100.0
11/10/2017,0.8929335031366605,0.8,-1.0,0.342055347519094,99.0
11/13/2017,1.7509919691815736,0.8,-0.7649353518763307,0.32059770775114504,96.0
11/14/2017,1.9365951963060208,0.8,-0.5752015229935947,0.3080531903050616,95.0
