,Close
1006,2002.83
1007,2006.66
1008,2021.85
1009,2035.37
1010,2040.89
1011,2051.65
1012,2080.14
1013,2123.28
1014,2123.78
1015,2120.21
1016,2071.72
1017,2049.11
1018,2053.52
1019,2018.39
1020,2048.93
1021,2023.05
1022,2034.48
1023,2036.23
1024,2054.75
1025,2074.81
1026,2064.17
1027,2096.29
1028,2103.04
1029,2097.56
1030,2101.44
1031,2083.75
1032,2126.45
1033,2175.78
1034,2174.4
1035,2185.32
1036,2175.96
1037,2165.83
1038,2199.23
1039,2190.15
1040,2201.09
1041,2201.37
1042,2151.96
1043,2144.27
1044,2160.7
1045,2151.67
1046,2127.46
1047,2118.33
1048,2113.01
1049,2111.49
1050,2113.87
1051,2114.42
1052,2056.7
1053,2050.07
1054,2037.75
1055,2036.76
1056,2057.67
1057,2048.34
1058,2021.28
1059,2043.26
1060,2019.54
1061,2033.78
1062,2053.64
1063,2046.11
1064,2052.54
1065,1993.07
1066,1995.27
1067,1971.1
1068,1974.33
1069,1976.69
1070,1980.74
1071,2010.56
1072,2002.66
1073,1963.05
1074,1974.95
1075,1984.45
1076,1980.67
1077,1947.88
1078,1951.03
1079,1945.72
1080,1970.1
1081,1952.08
1082,1927.05
1083,1912.38
1084,1904.8
1085,1923.82
1086,1923.56
1087,1950.87
1088,1997.3
1089,1994.58
1090,1993.72
1091,1960.77
1092,1989.43
1093,1986.03
1094,2033.85
1095,2029.62
1096,2017.17
1097,2006.14
1098,2014.73
1099,2010.69
1100,1968.08
1101,1998.41
1102,2005.75
1103,2012.03
1104,2002.83
1105,1988.3
1106,1983.67
1107,1961.3
1108,1964.83
1109,1909.81
1110,1914.15
1111,1918.79
1112,1900.22
1113,1908.21
1114,1909.95
1115,1894.32
1116,1893
1117,1895.43
1118,1850.14
1119,1794.43
1120,1801.82
1121,1814.67
1122,1840.29
1123,1838.16
1124,1872.39
1125,1862.89
1126,1858.3
1127,1824.86
1128,1806.28
1129,1790.14
1130,1821.19
1131,1806.79
1132,1878.48
1133,1876.33
1134,1836.88
1135,1835.07
1136,1841.54
1137,1840.37
1138,1820.68
1139,1786.46
1140,1779.52
1141,1813.86
1142,1799.78
1143,1800.93
1144,1783.18
1145,1787.12
1146,1779.68
1147,1784.93
1148,1749.7
1149,1757.64
1150,1808.37
1151,1750.61
1152,1740.32
1153,1689.93
1154,1710.99
1155,1695.84
1156,1689.54
1157,1684.5
1158,1669.35
1159,1675.42
1160,1737.36
1161,1746.94
1162,1745.21
1163,1757.06
1164,1709.28
1165,1708.95
1166,1674.03
1167,1676.1
1168,1729.03
1169,1751.68
1170,1765.63
1171,1774.51
1172,1807.06
1173,1792.05
1174,1795.39
1175,1825.45
1176,1819.04
1177,1831.75
1178,1809.8
1179,1808.61
1180,1821.76
1181,1781.91
1182,1779.51
1183,1816.06
1184,1808.18
1185,1755.42
1186,1748.45
1187,1720.76
1188,1721.39
1189,1722.23
1190,1701.06
1191,1704.69
1192,1691.67
1193,1693.67
1194,1716.09
1195,1662.75
1196,1713.05
1197,1704.46
1198,1694.5
1199,1689.01
1200,1702.45
1201,1701.68
1202,1692.06
1203,1678.7
1204,1645.81
1205,1637.01
1206,1599.01
1207,1629
1208,1625.26
1209,1624.44
1210,1604.25
1211,1608.24
1212,1617.94
1213,1601.47
1214,1590.99
1215,1594.84
1216,1596.59
1217,1617.61
1218,1595.12
1219,1596.59
1220,1608.36
1221,1659.05
1222,1704.74
1223,1694.26
1224,1701.45
1225,1685.91
1226,1661.99
1227,1736.61
1228,1714.7
1229,1750.52
1230,1775.09
1231,1742.82
1232,1744.71
1233,1713.68
1234,1761.94
1235,1772.19
1236,1764.82
1237,1732.02
1238,1782.06
1239,1778.1
1240,1778.32
1241,1768.54
1242,1758.98
1243,1773.17
1244,1761.88
1245,1765.65
1246,1769.41
1247,1779.94
1248,1795.26
1249,1799.64
1250,1826.72
1251,1828.41
1252,1839.06
1253,1822.77
1254,1818.28
1255,1843.85
1256,1827.94
1257,1794.26
1258,1776.36
1259,1798.1
1260,1811.49
1261,1796.94
1262,1813.2
1263,1776.41
1264,1760.48
1265,1780.08
1266,1778.98
1267,1755.72
1268,1758.62
1269,1760.33
1270,1747.92
1271,1749.89
1272,1749.19
1273,1708.85
1274,1688.09
1275,1705.63
1276,1735.28
1277,1737.51
1278,1721.43
1279,1736.24
1280,1734.59
1281,1770.95
1282,1777.07
1283,1770.68
1284,1749.4
1285,1789.63
1286,1791.38
1287,1815.88
1288,1799.91
1289,1808.86
1290,1819.22
1291,1822.21
1292,1822.54
1293,1862.75
1294,1864.3
1295,1876.66
1296,1866.62
